Date,Open,High,Low,Close,Adj Close,Volume
12/06/2021,26468.29883,26517.05469,24616.83398,25201.15234,25201.15234,26882323938
13/06/2021,25203.47266,27870.2168,24713.17969,27693.75781,27693.75781,28806705336
14/06/2021,27636.46094,29022.68164,27469.88477,28503.63867,28503.63867,30580498807
15/06/2021,28651.54297,29325.79297,28140.50781,28696.28906,28696.28906,32967311431
16/06/2021,28527.5625,28709.21484,27288.87891,27412.0918,27412.0918,28030123658
17/06/2021,27408.06055,28276.14063,26895.35156,27302.01953,27302.01953,26615525278
18/06/2021,27335.00391,27395.27344,25512.58203,25911.18164,25911.18164,26210673217
19/06/2021,25959.89844,26396.68359,25292.72461,25787.09961,25787.09961,22595131564
20/06/2021,25748.92188,26102.08984,24205.95898,25838.49805,25838.49805,26537501177
21/06/2021,25797.13281,25850.21484,22467.07031,22750.32813,22750.32813,37927662754
22/06/2021,22711.31836,23873.65234,20797.25391,23302.39648,23302.39648,42269893706
23/06/2021,23309.60547,24851.81445,22784.47266,24145.11523,24145.11523,33162262599
24/06/2021,24116.3125,25307.98438,23195.8457,24907.73242,24907.73242,23801789861
25/06/2021,24905.33984,25470.12109,22578.96875,22785.5918,22785.5918,28974377685
26/06/2021,22754.53906,23505.65625,21740.50781,23180.62109,23180.62109,27789271823
27/06/2021,23253.53906,24943.74805,23098.14453,24934.47266,24934.47266,25554780485
28/06/2021,24955.68555,25288.93945,24404.17188,24811.00586,24811.00586,24420614032
29/06/2021,24840.70898,26397.2168,24703.20117,25915.36523,25915.36523,27384752419
30/06/2021,25944.70898,26048.06836,24692.99609,25339.00977,25339.00977,24629042656
01/07/2021,25335.5,25335.5,23907.79102,24400.11523,24400.11523,27501240488
02/07/2021,24383.74805,24661.625,23817.79688,24518.65039,24518.65039,28013713258
03/07/2021,24487.81641,25255.38281,24161.07227,25081.23828,25081.23828,17640769952
04/07/2021,25079.08008,25977.25391,24884.40625,25513.55859,25513.55859,18020623560
05/07/2021,25511.07422,25511.07422,23973.32227,24356.91992,24356.91992,19286869677
06/07/2021,24340.68555,25287.52148,24375.66406,24800.55664,24800.55664,19197963171
07/07/2021,24793.66406,25307.93164,24521.47266,24533.09375,24533.09375,17968317331
08/07/2021,24557.93359,24574.58594,23340.00195,23841.48633,23841.48633,21689943091
09/07/2021,23830.10156,24478.17773,23444.73047,24302.52734,24302.52734,19727925792
